"date","user_name","tweet"
"2021-03-01","IndyStar","Pete Seat: Call Indiana's GOP control what you want, but it's not gerrymandering's fault https://t.co/C5AL2bfTyI https://t.co/cKq2EmOrMV"
"2021-03-01","freep","Gerrymandering split up communities in the past. New redistricting process aims to keep them together. https://t.co/kGGklTqKve"
"2021-03-01","StarTribune","A group of Minnesota voters is asking the courts to draw the state's legislative and congressional maps, the openin… https://t.co/sbVgb6ifQ7"
"2021-03-01","ABQJournal","Revised bill for independent redistricting advances in Senate https://t.co/9CkO1NbnZD https://t.co/vUlwlfrgOF"
"2021-03-01","PittsburghPG","Opponents of gerrymandering are recruiting a citizen army as Pennsylvania’s 2022 redistricting approaches https://t.co/fnXq8TAfmV"
"2021-03-01","NCSLorg","NCSL’s redistricting expert, Wendy Underhill, talks census delays and redistricting saying, “Not everything works i… https://t.co/y7ryQIfB89"
"2021-03-02","PittsburghPG","COMMENTARY: Why Spotlight PA is spending a year investigating the state's redistricting process https://t.co/i8T6WuFprK"
"2021-03-02","TexasTribune","Given Texas' history, it would be unusual if, at the very least, some redrawn political maps didn’t end up in feder… https://t.co/44zbD8U2rk"
"2021-03-02","NCSLorg","The [@uscensusbureau] delay may force states to pass legislation extending redistricting deadlines. Half of U.S. s… https://t.co/5N83DxkeMI"
"2021-03-03","PittsburghPG","Activists get behind legislation to open legislative redistricting process in Pennsylvania https://t.co/YUcyKtOEGa"
"2021-03-04","TexasTribune","Given Texas' history, it would be unusual if, at the very least, some redrawn political maps didn’t end up in feder… https://t.co/lAkJ29eXRl"
"2021-03-05","freep","'Picasso' of gerrymandering selected to draw new districts https://t.co/kVjRSf5Dje"
"2021-03-09","NPTelegraph","“We have done this all of one time,” said Lesley Green, director of information technology for the county. “Go into… https://t.co/oX9Mz7Y4VM"
"2021-03-09","argusleader","The U.S. Census Bureau has said it won’t be delivering data used for redrawing districts until the end of September… https://t.co/FzwzNUnzAB"
"2021-03-10","hartfordcourant","Bill would give Connecticut cities more legislative clout by changing how inmates are counted for redistricting… https://t.co/tXhSfdAbUd"
"2021-03-10","ABQJournal","Senate sends redistricting bill to House https://t.co/plPAELzb9G https://t.co/bsUwu50qwV"
"2021-03-10","argusleader","The U.S. Census Bureau has said it won’t be delivering data used for redrawing districts until the end of September… https://t.co/FzwzNUnzAB"
"2021-03-10","WiStateJournal","Lawsuit seeks to void contracts for lawyers hired by GOP leaders ahead of redistricting https://t.co/BkYXUoKAL9"
