user_name,user_id
ALcomBirmingham,9893842
adndotcom,15828025
azcpolitics,456845561
ArkansasOnline,25354366
LATpoliticsCA,106516018
denverpolitics,15245652
hartfordcourant,14708814
delawareonline,14307764
PoliticsTBTimes,17797249
AJCGaPolitics,16370676
starpolitics,21787254
IdahoStatesman,8980312
ChiTribCloutSt,69324314
IndyStar,16550142
IaLegis,4883567293
CJOnline,16429852
BGPolitics,21233325
theadvocatebr,3983511
pressherald,8859092
baltimoresun,8861752
GlobePolitical,24765589
freep,8795772
StarTribune,17348525
sunherald,12810582
columbiatribune,14600977
billingsgazette,21243049
NPTelegraph,146558810
reviewjournal,15358759
UnionLeader,20073589
NJ_Politics,39520162
ABQJournal,14385076
timesunion,17448662
theobserver,8695932
bistrib,19403006
OhioPoliticsNow,2149414262
TheOklahoman_,7406262
OregonianPol,14180091
PittsburghPG,21780652
projo,14354091
postandcourier,14693499
argusleader,15436545
Tennessean,16639736
TexasTribune,44513878
SLTribPolitics,394093230
bfp_news,12794062
RTDNEWS,23764675
seattletimes,14352556
wvgazettemail,8854622
WiStateJournal,15752446
CSTribune,18228308
NCSLorg,16196492
princetongerry,1193969226220023808
